year,gennme,state,quarter,totalRXImputed
2019,Lisdexamfetamine Dimesylate,FL,1,62850
2019,Methamphetamine Hydrochloride,FL,1,0
2019,Amphetamine,FL,2,1491
2019,Amphetamine Salt Combination,FL,2,59362
2019,Dextroamphetamine Sulfate,FL,2,496
2019,Lisdexamfetamine Dimesylate,FL,2,58753
2019,Amphetamine,FL,3,915
2019,Amphetamine Salt Combination,FL,3,53458
2019,Dextroamphetamine Sulfate,FL,3,510
2019,Lisdexamfetamine Dimesylate,FL,3,56013
2019,Amphetamine,FL,4,852
2019,Amphetamine Salt Combination,FL,4,52218
2019,Dextroamphetamine Sulfate,FL,4,497
2019,Lisdexamfetamine Dimesylate,FL,4,59397
2019,Amphetamine,MS,1,669
2019,Amphetamine Salt Combination,MS,1,13211
2019,Dextroamphetamine Sulfate,MS,1,1418
2019,Lisdexamfetamine Dimesylate,MS,1,23789
2019,Amphetamine,MS,2,542
2019,Amphetamine Salt Combination,MS,2,12280
2019,Dextroamphetamine Sulfate,MS,2,1133
2019,Lisdexamfetamine Dimesylate,MS,2,20873
2019,Amphetamine,MS,3,535
2019,Amphetamine Salt Combination,MS,3,12985
2019,Dextroamphetamine Sulfate,MS,3,1289
2019,Lisdexamfetamine Dimesylate,MS,3,21723
2019,Amphetamine,MS,4,467
2019,Amphetamine Salt Combination,MS,4,13239
2019,Dextroamphetamine Sulfate,MS,4,1560
2019,Lisdexamfetamine Dimesylate,MS,4,22706
2019,Amphetamine,SC,1,0
2019,Amphetamine Salt Combination,SC,1,36191
2019,Dextroamphetamine Sulfate,SC,1,331
2019,Lisdexamfetamine Dimesylate,SC,1,23619
2019,Methamphetamine Hydrochloride,SC,1,0
2019,Amphetamine,SC,2,16
2019,Amphetamine Salt Combination,SC,2,33980
2019,Dextroamphetamine Sulfate,SC,2,324
2019,Lisdexamfetamine Dimesylate,SC,2,21384
2019,Methamphetamine Hydrochloride,SC,2,0
2019,Amphetamine,SC,3,0
2019,Amphetamine Salt Combination,SC,3,31838
2019,Dextroamphetamine Sulfate,SC,3,335
2019,Lisdexamfetamine Dimesylate,SC,3,18780
2019,Amphetamine,SC,4,60
2019,Amphetamine Salt Combination,SC,4,33122
2019,Dextroamphetamine Sulfate,SC,4,419
2019,Lisdexamfetamine Dimesylate,SC,4,23824
2019,Amphetamine,TN,1,364
2019,Amphetamine Salt Combination,TN,1,27959
2019,Dextroamphetamine Sulfate,TN,1,924
2019,Lisdexamfetamine Dimesylate,TN,1,29672
2019,Amphetamine,TN,2,386
2019,Amphetamine Salt Combination,TN,2,23280
2019,Dextroamphetamine Sulfate,TN,2,848
2019,Lisdexamfetamine Dimesylate,TN,2,28073
2019,Amphetamine,TN,3,345
2019,Amphetamine Salt Combination,TN,3,21611
2019,Dextroamphetamine Sulfate,TN,3,814
2019,Lisdexamfetamine Dimesylate,TN,3,26484
2019,Amphetamine,TN,4,382
2019,Amphetamine Salt Combination,TN,4,22387
2019,Dextroamphetamine Sulfate,TN,4,937
2019,Lisdexamfetamine Dimesylate,TN,4,28611
2020,Amphetamine,CO,1,0
2020,Amphetamine Salt Combination,CO,1,19811
2020,Dextroamphetamine Sulfate,CO,1,157
2020,Lisdexamfetamine Dimesylate,CO,1,9306
2020,Methamphetamine Hydrochloride,CO,1,0
2020,Amphetamine,CO,2,0
2020,Amphetamine Salt Combination,CO,2,13427
2020,Dextroamphetamine Sulfate,CO,2,129
2020,Lisdexamfetamine Dimesylate,CO,2,8643
2020,Methamphetamine Hydrochloride,CO,2,0
2020,Amphetamine,CO,3,0
2020,Amphetamine Salt Combination,CO,3,12510
2020,Dextroamphetamine Sulfate,CO,3,122
2020,Lisdexamfetamine Dimesylate,CO,3,9380
2020,Methamphetamine Hydrochloride,CO,3,0
2020,Amphetamine,CO,4,0
2020,Amphetamine Salt Combination,CO,4,18845
2020,Dextroamphetamine Sulfate,CO,4,120
2020,Lisdexamfetamine Dimesylate,CO,4,10010
2020,Methamphetamine Hydrochloride,CO,4,0
2020,Amphetamine,FL,1,738
2020,Amphetamine Salt Combination,FL,1,51438
2020,Dextroamphetamine Sulfate,FL,1,523
2020,Lisdexamfetamine Dimesylate,FL,1,60179
2020,Methamphetamine Hydrochloride,FL,1,0
2020,Amphetamine,FL,2,543
2020,Amphetamine Salt Combination,FL,2,41794
2020,Dextroamphetamine Sulfate,FL,2,367
2020,Lisdexamfetamine Dimesylate,FL,2,48507
2020,Methamphetamine Hydrochloride,FL,2,0
2020,Amphetamine,FL,3,520
2020,Amphetamine Salt Combination,FL,3,41218
2020,Dextroamphetamine Sulfate,FL,3,401
2020,Lisdexamfetamine Dimesylate,FL,3,48787
2020,Methamphetamine Hydrochloride,FL,3,0
2020,Amphetamine,FL,4,495
2020,Amphetamine Salt Combination,FL,4,48480
2020,Dextroamphetamine Sulfate,FL,4,495
2020,Lisdexamfetamine Dimesylate,FL,4,53896
2020,Methamphetamine Hydrochloride,FL,4,0
2020,Amphetamine,MS,1,431
2020,Amphetamine Salt Combination,MS,1,12839
2020,Dextroamphetamine Sulfate,MS,1,1570
2020,Lisdexamfetamine Dimesylate,MS,1,22428
2020,Amphetamine,MS,2,283
2020,Amphetamine Salt Combination,MS,2,10203
2020,Dextroamphetamine Sulfate,MS,2,1140
2020,Lisdexamfetamine Dimesylate,MS,2,16147
2020,Amphetamine,MS,3,307
2020,Amphetamine Salt Combination,MS,3,10531
2020,Dextroamphetamine Sulfate,MS,3,1248
2020,Lisdexamfetamine Dimesylate,MS,3,17999
2020,Amphetamine,MS,4,266
2020,Amphetamine Salt Combination,MS,4,10717
2020,Dextroamphetamine Sulfate,MS,4,1415
2020,Lisdexamfetamine Dimesylate,MS,4,19062
2020,Amphetamine,SC,1,60
2020,Amphetamine Salt Combination,SC,1,33075
2020,Dextroamphetamine Sulfate,SC,1,436
2020,Lisdexamfetamine Dimesylate,SC,1,23743
