year,gennme,state,quarter,suppression,totalRX
2017,Lisdexamfetamine Dimesylate,TN,3,T,0
2017,Methamphetamine Hydrochloride,TN,3,T,0
2017,Amphetamine,TN,4,F,351
2017,Amphetamine Salt Combination,TN,4,F,29224
2017,Amphetamine Salt Combination,TN,4,T,0
2017,Dextroamphetamine Sulfate,TN,4,F,732
2017,Dextroamphetamine Sulfate,TN,4,T,0
2017,Lisdexamfetamine Dimesylate,TN,4,F,31260
2017,Lisdexamfetamine Dimesylate,TN,4,T,0
2017,Methamphetamine Hydrochloride,TN,4,T,0
2018,Amphetamine,CO,1,T,0
2018,Amphetamine Salt Combination,CO,1,F,18185
2018,Amphetamine Salt Combination,CO,1,T,0
2018,Dextroamphetamine Sulfate,CO,1,F,194
2018,Dextroamphetamine Sulfate,CO,1,T,0
2018,Lisdexamfetamine Dimesylate,CO,1,F,9160
2018,Lisdexamfetamine Dimesylate,CO,1,T,0
2018,Methamphetamine Hydrochloride,CO,1,T,0
2018,Amphetamine,CO,2,T,0
2018,Amphetamine Salt Combination,CO,2,F,19092
2018,Amphetamine Salt Combination,CO,2,T,0
2018,Dextroamphetamine Sulfate,CO,2,F,186
2018,Dextroamphetamine Sulfate,CO,2,T,0
2018,Lisdexamfetamine Dimesylate,CO,2,F,9499
2018,Lisdexamfetamine Dimesylate,CO,2,T,0
2018,Methamphetamine Hydrochloride,CO,2,F,16
2018,Amphetamine,CO,3,T,0
2018,Amphetamine Salt Combination,CO,3,F,18029
2018,Amphetamine Salt Combination,CO,3,T,0
2018,Dextroamphetamine Sulfate,CO,3,F,172
2018,Dextroamphetamine Sulfate,CO,3,T,0
2018,Lisdexamfetamine Dimesylate,CO,3,F,8666
2018,Lisdexamfetamine Dimesylate,CO,3,T,0
2018,Methamphetamine Hydrochloride,CO,3,T,0
2018,Amphetamine,CO,4,T,0
2018,Amphetamine Salt Combination,CO,4,F,18849
2018,Amphetamine Salt Combination,CO,4,T,0
2018,Dextroamphetamine Sulfate,CO,4,F,152
2018,Dextroamphetamine Sulfate,CO,4,T,0
2018,Lisdexamfetamine Dimesylate,CO,4,F,9417
2018,Lisdexamfetamine Dimesylate,CO,4,T,0
2018,Methamphetamine Hydrochloride,CO,4,T,0
2018,Amphetamine,FL,1,F,56
2018,Amphetamine,FL,1,T,0
2018,Amphetamine Salt Combination,FL,1,F,64170
2018,Amphetamine Salt Combination,FL,1,T,0
2018,Dextroamphetamine Sulfate,FL,1,F,534
2018,Dextroamphetamine Sulfate,FL,1,T,0
2018,Lisdexamfetamine Dimesylate,FL,1,F,63091
2018,Lisdexamfetamine Dimesylate,FL,1,T,0
2018,Methamphetamine Hydrochloride,FL,1,T,0
2018,Amphetamine,FL,2,F,75
2018,Amphetamine,FL,2,T,0
2018,Amphetamine Salt Combination,FL,2,F,63546
2018,Amphetamine Salt Combination,FL,2,T,0
2018,Dextroamphetamine Sulfate,FL,2,F,491
2018,Dextroamphetamine Sulfate,FL,2,T,0
